word,avg_f1,avg_acc,Lemma,pos,entropy,num_senses,freq,Part of Speech
produce.v,0.6342164170916152,0.6307692307692307,produce.v,v,1.4732202517929909,3,130,Verb
hope.v,0.4753679724801006,0.4833333333333334,hope.v,v,1.4725642613737533,3,116,Verb
deal.v,0.7385700965700966,0.749090909090909,deal.v,v,1.4725137493579352,3,62,Verb
sound.n,0.7019769119769121,0.6964285714285715,sound.n,n,1.4712932185766467,3,53,Noun
game.n,0.6362752394950537,0.6558333333333334,game.n,n,1.4707311511307737,3,76,Noun
watch.v,0.42848899930612677,0.43195402298850577,watch.v,v,1.4568308932827967,3,146,Verb
hang.v,0.7162600732600731,0.72,hang.v,v,1.4547509823331688,3,50,Verb
party.n,0.8225241425241425,0.8345454545454546,party.n,n,1.4541807323020552,3,54,Noun
speak.v,0.5555842303794988,0.5586206896551724,speak.v,v,1.4500613909037192,3,147,Verb
heart.n,0.8250361604207758,0.8461538461538461,heart.n,n,1.4424818181915766,3,66,Noun
change.v,0.8235610136555316,0.8339920948616599,change.v,v,1.4413678325547838,3,121,Verb
love.v,0.733026624111183,0.7397058823529411,love.v,v,1.4411527094993095,3,81,Verb
express.v,0.5048766184235292,0.5326315789473683,express.v,v,1.4343772909446142,3,98,Verb
need.v,0.5982717420135456,0.6025609756097561,need.v,v,0.9965999782846084,2,204,Verb
declare.v,0.6267484367484368,0.6472222222222223,declare.v,v,1.4160013007337011,3,53,Verb
light.n,0.8683114961961117,0.8703296703296702,light.n,n,1.4156332062186274,3,77,Noun
point.n,0.7634703909532284,0.7800724637681159,point.n,n,1.4134178478753567,3,118,Noun
reveal.v,0.6185036923860453,0.6533333333333332,reveal.v,v,0.9113423759758418,2,49,Verb
maintain.v,0.4361107897950004,0.439766081871345,maintain.v,v,1.4054342437848957,3,103,Verb
put.v,0.7363893961194792,0.7360000000000001,put.v,v,1.4023401192906129,3,257,Verb
consider.v,0.6538827818581077,0.6508212560386474,consider.v,v,1.394830833453816,3,229,Verb
position.n,0.906244951629567,0.8780219780219781,position.n,n,1.392461483252758,3,73,Noun
drop.v,0.7351730141203825,0.7205128205128205,drop.v,v,1.3919702465210304,3,74,Verb
field.n,0.91072126286412,0.910989010989011,field.n,n,1.3916128814599005,3,81,Noun
recognize.v,0.567814165366797,0.5621052631578947,recognize.v,v,1.3905097158598199,3,100,Verb
close.v,0.7497800402212167,0.7558823529411764,close.v,v,1.3743794325609968,3,84,Verb
involve.v,0.5784562101659192,0.6095238095238095,involve.v,v,1.3724822286974927,3,112,Verb
value.n,0.9265245673866364,0.9307692307692308,value.n,n,1.3609640474436808,3,130,Noun
prepare.v,0.7654226475279108,0.7606060606060605,prepare.v,v,1.3604730389109894,3,71,Verb
remain.v,0.8128612077358207,0.8180654338549076,remain.v,v,1.355595380399152,3,196,Verb
support.v,0.5888173731030875,0.5967032967032967,support.v,v,1.3548708565658478,3,74,Verb
report.v,0.5415493904113476,0.5390769230769231,report.v,v,1.348106130062573,3,128,Verb
quality.n,0.548034188034188,0.5615384615384615,quality.n,n,1.3442502541596542,3,70,Noun
keep.v,0.8299899218336831,0.8345454545454546,keep.v,v,1.3353920420885956,5,303,Verb
end.v,0.9272591645353794,0.925,end.v,v,1.3335410506649712,3,90,Verb
remember.v,0.7333232099096141,0.7441287878787879,remember.v,v,1.3332361193357405,3,164,Verb
present.v,0.6060143954239876,0.6040935672514619,present.v,v,1.3285216398294963,3,103,Verb
result.n,0.7167434434101102,0.7396011396011396,result.n,n,1.3276614050461624,3,131,Noun
source.n,0.7750502928444105,0.7772727272727273,source.n,n,1.3257519053652946,3,67,Noun
stand.v,0.6685629092417085,0.6878048780487805,stand.v,v,1.3185058440138706,3,211,Verb
begin.v,0.7455176128882928,0.763262910798122,begin.v,v,0.9775015772983272,3,359,Verb
send.v,0.6838543166716693,0.6996666666666667,send.v,v,1.2963318321859545,3,128,Verb
treat.v,0.9010737542471288,0.8967032967032967,treat.v,v,1.2962872661047358,3,81,Verb
suggest.v,0.5169585084802476,0.55,suggest.v,v,1.2882167238882554,3,120,Verb
stay.v,0.40302044794526,0.42857142857142855,stay.v,v,1.2819683318512711,3,105,Verb
case.n,0.7102857912457912,0.7163076923076923,case.n,n,1.2119364462553628,3,127,Noun
look.v,0.9449924989466616,0.9487323943661972,look.v,v,1.2070660965204227,3,361,Verb
surface.n,0.8100111686819919,0.8153439153439155,surface.n,n,1.2013501705669356,3,136,Noun
man.n,0.813976444172205,0.8215494488433472,man.n,n,0.7655562587579493,3,566,Noun
determine.v,0.7422562077935252,0.7754032258064518,determine.v,v,1.1865641271536418,3,165,Verb
ask.v,0.9021070113399163,0.909424872026498,ask.v,v,1.1785076650486637,3,408,Verb
live.v,0.7014144295420891,0.7191489361702127,live.v,v,1.158150683005459,3,235,Verb
continue.v,0.7317813765182186,0.7327935222672064,continue.v,v,1.1562771759512425,3,197,Verb
occur.v,0.9779619608903609,0.9789473684210526,occur.v,v,0.6460174789535751,2,97,Verb
choose.v,0.7170469862405346,0.7238095238095237,choose.v,v,1.1157602463144525,3,108,Verb
interest.n,0.7974640936523929,0.8043333333333333,interest.n,n,1.1049844412475445,3,126,Noun
assume.v,0.9692221756737887,0.975,assume.v,v,1.0652400194324223,3,91,Verb
area.n,0.9097670267608045,0.9161943319838057,area.n,n,1.002967626870442,3,200,Noun
control.n,0.6916666666666667,0.6933333333333334,control.n,n,1.0,2,36,Noun
secretary.n,0.7466666666666668,0.7466666666666668,secretary.n,n,1.0,2,28,Noun
matter.n,0.5107836607836607,0.5181818181818182,matter.n,n,1.0,2,56,Noun
note.n,1.0,1.0,note.n,n,1.0,2,26,Noun
property.n,0.9474025974025974,0.9454545454545455,property.n,n,1.0,2,60,Noun
notion.n,0.5803174603174603,0.54,notion.n,n,1.0,2,28,Noun
standard.n,0.4600000000000001,0.44000000000000006,standard.n,n,1.0,2,22,Noun
extend.v,0.6192733686067018,0.6599999999999999,extend.v,v,0.9997431860710853,2,53,Verb
labor.n,0.7731746031746033,0.7678571428571429,labor.n,n,0.9995256892936492,2,39,Noun
fear.v,0.671111111111111,0.6464285714285715,fear.v,v,0.9994730201859836,2,37,Verb
culture.n,0.437962962962963,0.47333333333333333,culture.n,n,0.9994110647387552,2,35,Noun
bond.n,1.0,1.0,bond.n,n,0.9993375041688846,2,33,Noun
match.v,0.8513419913419913,0.8466666666666667,match.v,v,0.9993375041688846,2,33,Verb
trade.n,0.900952380952381,0.9,trade.n,n,0.9992492479956566,2,31,Noun
commit.v,0.9466666666666667,0.95,commit.v,v,0.9988455359952018,2,25,Verb
frequency.n,0.9066666666666666,0.9,frequency.n,n,0.998635964158572,2,23,Noun
duty.n,0.34380952380952384,0.35,duty.n,n,0.998635964158572,2,23,Noun
dry.v,0.917142857142857,0.9099999999999999,dry.v,v,0.998635964158572,2,23,Verb
operation.n,0.6904761904761905,0.6599999999999999,operation.n,n,0.998635964158572,2,23,Noun
phase.n,0.9099999999999999,0.9111111111111111,phase.n,n,0.998635964158572,2,46,Noun
reject.v,0.7347619047619047,0.7380952380952381,reject.v,v,0.997772472089982,2,36,Verb
news.n,0.4901587301587302,0.4809523809523809,news.n,n,0.9975025463691152,2,34,Noun
voice.n,0.6364890254000498,0.6363157894736842,voice.n,n,0.9972943816462349,2,98,Noun
task.n,0.7537037037037038,0.7666666666666668,task.n,n,0.9967916319816368,2,30,Noun
benefit.n,0.7916666666666667,0.8,benefit.n,n,0.9967916319816368,2,30,Noun
propose.v,0.5958730158730159,0.5972222222222222,propose.v,v,0.9964859898867829,2,43,Verb
combine.v,0.6923809523809522,0.7066666666666668,combine.v,v,0.9963165195589622,2,28,Verb
assumption.n,0.5333333333333333,0.4999999999999999,assumption.n,n,0.9963165195589622,2,28,Noun
unit.n,0.9276190476190477,0.9266666666666667,unit.n,n,0.9957274520849256,2,26,Noun
threaten.v,0.8157287157287157,0.8107142857142857,threaten.v,v,0.9952525494396791,2,37,Verb
snow.n,0.5566666666666666,0.55,snow.n,n,0.99498482818597,2,24,Noun
result.v,0.9522377020983832,0.9522058823529411,result.v,v,0.9948631079048572,2,83,Verb
treatment.n,0.9057653457653458,0.9054545454545455,treatment.n,n,0.9940302114769566,2,55,Noun
church.n,0.831931506242719,0.8311594202898551,church.n,n,0.9936507116910404,2,128,Noun
aspect.n,0.7984271284271285,0.8,aspect.n,n,0.9934472383802028,2,42,Noun
list.v,0.4004761904761905,0.4138888888888889,list.v,v,0.9934472383802028,2,42,Verb
pass_through.v,0.9314285714285715,0.9333333333333333,pass_through.v,v,0.9932338197397066,2,31,Verb
pattern.n,0.6799999999999999,0.68,pattern.n,n,0.9930554830121976,2,51,Noun
face.v,0.7125372694937913,0.7100000000000001,face.v,v,0.9927744539878084,2,100,Verb
discussion.n,0.6886979686979686,0.6977777777777778,discussion.n,n,0.992476003943082,2,49,Noun
sign.v,0.7657142857142858,0.7666666666666666,sign.v,v,0.9922666387194964,2,29,Verb
dance.v,0.5354761904761904,0.5533333333333333,dance.v,v,0.9922666387194964,2,29,Verb
prove.v,0.8687298933511413,0.8699999999999999,prove.v,v,0.9920686248447116,2,105,Verb
pick_up.v,0.75007215007215,0.7392857142857142,pick_up.v,v,0.9918207974218424,2,47,Verb
sing.v,0.9220899470899472,0.9216666666666666,sing.v,v,0.99012263089358,2,77,Verb
work.n,0.6852120572984971,0.7038461538461538,work.n,n,0.989793175281866,2,202,Noun
captain.n,0.7495238095238095,0.76,captain.n,n,0.9895875212220556,2,25,Noun
establish.v,0.5451094219328045,0.5628458498023715,establish.v,v,0.9886994082884974,2,112,Verb
imply.v,0.4876190476190477,0.5190476190476191,imply.v,v,0.9886994082884974,2,32,Verb
question.v,0.8557142857142856,0.8866666666666667,question.v,v,0.9886994082884974,2,32,Verb
tone.n,1.0,1.0,tone.n,n,0.9881108365218302,2,39,Noun
demonstrate.v,0.476967106967107,0.5055555555555555,demonstrate.v,v,0.9876925088958032,2,46,Verb
earth.n,0.7453968253968254,0.7333333333333334,earth.n,n,0.9871377743721862,2,30,Noun
carry_out.v,0.5690909090909091,0.5464285714285715,carry_out.v,v,0.9867867202680318,2,37,Verb
policy.n,0.705853405853406,0.7090909090909092,policy.n,n,0.98623253507245,2,58,Noun
design.n,0.6095238095238095,0.6,design.n,n,0.9852281360342516,2,28,Noun
story.n,0.704935064935065,0.7333333333333332,story.n,n,0.9852281360342516,2,56,Noun
control.v,0.7902553002553002,0.7866666666666667,control.v,v,0.983939395163576,2,47,Verb
increase.v,0.7126492979636996,0.7152709359605912,increase.v,v,0.9830968737122372,2,144,Verb
cloud.n,0.8099999999999999,0.8400000000000001,cloud.n,n,0.9828586897127056,2,26,Noun
payment.n,0.9431956931956933,0.9454545454545455,payment.n,n,0.9805974409917271,2,55,Noun
question.n,0.8262168409722264,0.8297101449275364,question.n,n,0.9795438195294628,2,125,Noun
conduct.v,0.8254431047354533,0.8257142857142858,conduct.v,v,0.97933992595678,2,77,Verb
order.v,0.9296703296703296,0.9428571428571428,order.v,v,0.9788698505067782,2,41,Verb
loss.n,0.8238095238095238,0.8133333333333332,loss.n,n,0.9784493292686188,2,29,Noun
consideration.n,0.9638095238095238,0.96,consideration.n,n,0.9784493292686188,2,29,Noun
meaning.n,0.6909736886207474,0.6933333333333334,meaning.n,n,0.9782176659354248,2,75,Noun
university.n,0.738095238095238,0.7619047619047619,university.n,n,0.9774178175281716,2,34,Noun
investigate.v,1.0,1.0,investigate.v,v,0.975119064940866,2,27,Verb
store.v,0.7901587301587302,0.78,store.v,v,0.975119064940866,2,27,Verb
maturity.n,0.9416666666666668,0.9333333333333332,maturity.n,n,0.975119064940866,2,27,Noun
class.n,0.9676190476190477,0.9666666666666668,class.n,n,0.9744894033980523,2,32,Noun
family.n,0.6480142296892868,0.6452898550724638,family.n,n,0.9744894033980523,2,128,Noun
share.v,0.6853417289780925,0.6681818181818182,share.v,v,0.9729661265889024,2,57,Verb
destroy.v,0.5314702291172878,0.5219780219780219,destroy.v,v,0.9726699911457106,2,67,Verb
development.n,0.8511902677072956,0.8461988304093566,development.n,n,0.9720334868479674,2,107,Noun
score.v,0.9333333333333333,0.9333333333333333,score.v,v,0.9709505944546688,2,30,Verb
subject.n,0.8805555555555555,0.8805555555555555,subject.n,n,0.9709505944546688,2,50,Noun
become.v,0.7982142920504158,0.7980392156862746,become.v,v,0.9709505944546688,2,510,Verb
memory.n,0.8844444444444445,0.8857142857142858,memory.n,n,0.9709505944546688,2,35,Noun
ride.v,0.8280127085390243,0.8325000000000001,ride.v,v,0.969430915646324,2,78,Verb
run.v,0.9624938530528592,0.9623376623376624,run.v,v,0.96838448165791,3,154,Verb
character.n,0.8338520408163266,0.8178571428571428,character.n,n,0.9677884628267678,2,38,Noun
extent.n,0.6443073593073593,0.6892857142857143,extent.n,n,0.9677884628267678,2,38,Noun
activity.n,0.8119728868024664,0.8269005847953217,activity.n,n,0.9656361333706096,2,92,Noun
amount.n,0.8578991596638655,0.8563157894736841,amount.n,n,0.9637261681930318,2,103,Noun
look.n,0.8829437229437229,0.9,look.n,n,0.9629004147713268,2,31,Noun
land.n,0.7466666666666667,0.75,land.n,n,0.9621461334087,2,57,Noun
read.v,0.9016701766355206,0.903448275862069,read.v,v,0.961017373981536,3,145,Verb
sale.n,0.8889643689643691,0.8911111111111112,sale.n,n,0.9601186626422924,2,47,Noun
cell.n,0.9216492842196168,0.9217391304347826,cell.n,n,0.9598636448150404,2,115,Noun
enjoy.v,0.7942959898270169,0.7987179487179488,enjoy.v,v,0.9578630237479796,2,79,Verb
win.v,0.7819619934422931,0.7830039525691699,win.v,v,0.9568886656798214,2,111,Verb
vary.v,0.6774362674362674,0.6555555555555556,vary.v,v,0.9561550236844027,2,53,Verb
requirement.n,0.6225416065416065,0.6222222222222221,requirement.n,n,0.954434002924965,2,48,Noun
prevent.v,0.8191157894736844,0.8163157894736843,prevent.v,v,0.9534985819759996,2,99,Verb
act.v,0.6874242424242425,0.6836363636363636,act.v,v,0.9526092095121206,2,51,Verb
remind.v,0.665974025974026,0.6571428571428571,remind.v,v,0.9517626756348312,2,35,Verb
miss.v,0.8590476190476191,0.86,miss.v,v,0.9517626756348312,2,35,Verb
head.v,1.0,1.0,head.v,v,0.9486131982385808,2,49,Verb
message.n,0.4939682539682539,0.4666666666666666,message.n,n,0.9480782435939054,2,30,Noun
require.v,0.8410237943527099,0.8571428571428571,require.v,v,0.94753043531895,3,181,Verb
rate.n,0.9719188881294144,0.9718614718614719,rate.n,n,0.946343998170766,2,107,Noun
plant.n,0.9695989974937345,0.9689473684210526,plant.n,n,0.94566030460064,2,99,Noun
act.n,0.9664989980779455,0.9636363636363636,act.n,n,0.94566030460064,2,55,Noun
board.n,0.9772005772005773,0.9777777777777779,board.n,n,0.94566030460064,2,44,Noun
distribution.n,0.7269719169719171,0.75,distribution.n,n,0.9436016312993821,2,36,Noun
design.v,0.7785882010146716,0.7816666666666666,design.v,v,0.9418285354475155,2,78,Verb
reality.n,0.7047619047619047,0.7142857142857143,reality.n,n,0.9418285354475155,2,39,Noun
top.n,0.6276190476190476,0.6142857142857143,top.n,n,0.9418285354475155,2,39,Noun
function.n,1.0,1.0,function.n,n,0.9411864371816834,2,67,Noun
success.n,0.7518073593073592,0.738181818181818,success.n,n,0.940285958670631,2,56,Noun
hope.n,0.6660317460317461,0.6888888888888889,hope.n,n,0.9389320105807948,2,45,Noun
response.n,0.7466666666666667,0.74,response.n,n,0.9383153522334068,2,31,Noun
happen.v,0.7684247584080731,0.7944444444444445,happen.v,v,0.937480699894604,3,180,Verb
difficulty.n,0.5677248677248677,0.5866666666666667,difficulty.n,n,0.9366673818775624,2,34,Noun
war.n,0.5053446553446552,0.5285714285714286,war.n,n,0.9366673818775624,2,68,Noun
gas.n,0.7000000000000001,0.7066666666666668,gas.n,n,0.9352691398683568,2,37,Noun
structure.n,0.8291919191919191,0.8071428571428572,structure.n,n,0.9352691398683568,2,37,Noun
piece.n,0.5041269841269841,0.5066666666666666,piece.n,n,0.9352691398683568,2,37,Noun
level.n,0.8677664305815567,0.8675324675324676,level.n,n,0.9332226994125881,2,106,Noun
find_out.v,0.8697851037851038,0.8755555555555554,find_out.v,v,0.9313043685793762,2,49,Verb
lay.v,0.6859523809523809,0.6857142857142857,lay.v,v,0.9283620723948678,2,32,Verb
confront.v,0.6906084656084656,0.719047619047619,confront.v,v,0.9283620723948678,2,32,Verb
glass.n,0.7976623376623376,0.8107142857142857,glass.n,n,0.927526588431676,2,35,Noun
set.n,0.836984126984127,0.8392857142857142,set.n,n,0.9262122127346664,2,41,Noun
deliver.v,0.8685714285714287,0.8714285714285716,deliver.v,v,0.9256859869821298,2,44,Verb
growth.n,0.9291773585891233,0.9287878787878789,growth.n,n,0.9241335419915458,2,56,Noun
paper.n,0.9688311688311689,0.9692307692307693,paper.n,n,0.9235785996175948,2,62,Noun
learn.v,0.8692042691406296,0.8693121693121693,learn.v,v,0.922825073250271,2,145,Verb
moment.n,0.7712430426716141,0.7645021645021646,moment.n,n,0.9213796449361408,2,107,Noun
production.n,0.9786666666666667,0.9800000000000001,production.n,n,0.9182958340544894,2,54,Noun
pain.n,0.8114285714285714,0.8142857142857143,pain.n,n,0.9182958340544894,2,33,Noun
shout.v,0.5926301149830561,0.6266666666666667,shout.v,v,0.9182958340544894,2,48,Verb
divide.v,0.9286772486772488,0.9333333333333333,divide.v,v,0.9182958340544894,2,36,Verb
add.v,0.9090072482849674,0.9116059379217274,add.v,v,0.9165590271665272,2,193,Verb
include.v,0.7900407835077972,0.8238095238095238,include.v,v,0.9162739525300684,3,292,Verb
country.n,0.7523579648958959,0.76,country.n,n,0.9152073261515641,2,109,Noun
pay.v,0.8770371616309607,0.8963025210084032,pay.v,v,0.9132829641650988,3,190,Verb
fail.v,0.9462609692809025,0.9473684210526315,fail.v,v,0.9111178649415465,2,95,Verb
radiation.n,0.9114227994227994,0.9133333333333333,radiation.n,n,0.9108783787500366,2,46,Noun
number.n,0.7355490684448374,0.7383265856950066,number.n,n,0.909736122531166,2,200,Noun
law.n,0.7543029519500107,0.7685714285714285,law.n,n,0.9093934226727596,2,77,Noun
succeed.v,0.9428571428571428,0.9428571428571428,succeed.v,v,0.9090221560878148,2,37,Verb
shot.n,0.6354761904761905,0.6761904761904762,shot.n,n,0.9090221560878148,2,37,Noun
dollar.n,0.643010878010878,0.6761904761904761,dollar.n,n,0.9081783472997051,2,34,Noun
examine.v,0.8323809523809524,0.82,examine.v,v,0.9081783472997051,2,34,Verb
notice.v,0.5564826839826841,0.5636363636363637,notice.v,v,0.906579548498746,2,59,Verb
argue.v,0.6528174603174604,0.7,argue.v,v,0.904381457724494,2,50,Verb
information.n,0.7781555473025528,0.7775862068965517,information.n,n,0.9037762882345832,2,144,Noun
share.n,0.9782051282051281,0.975,share.n,n,0.9023932827949788,2,44,Noun
define.v,0.5619047619047619,0.5904761904761904,define.v,v,0.9011701959974224,2,41,Verb
neighborhood.n,0.7763147963147963,0.7777777777777778,neighborhood.n,n,0.9011701959974224,2,41,Noun
product.n,0.7855335307966886,0.7952380952380952,product.n,n,0.8989377852081333,2,73,Noun
step.n,0.931844997108155,0.9400000000000001,step.n,n,0.8986533756907481,2,54,Noun
cost.v,0.9195949148890324,0.9199999999999999,cost.v,v,0.8974271930876951,2,51,Verb
offer.v,0.7132151341675151,0.7325396825396824,offer.v,v,0.8950051289257759,2,138,Verb
nod.v,0.6623322973322974,0.7166666666666667,nod.v,v,0.8926230133850988,2,42,Verb
job.n,0.8764241550967068,0.8779220779220779,job.n,n,0.8913309584070231,2,107,Noun
tradition.n,0.7497979797979799,0.7392857142857142,tradition.n,n,0.8904916402194913,2,39,Noun
regard.v,0.9736363636363636,0.975,regard.v,v,0.8904916402194913,2,39,Verb
floor.n,0.9428260628260627,0.9418181818181818,floor.n,n,0.8904916402194913,2,52,Noun
newspaper.n,0.7941558441558442,0.7964285714285715,newspaper.n,n,0.8904916402194913,2,39,Noun
believe.v,0.5590660546361057,0.5658536585365854,believe.v,v,0.8893751863481874,3,215,Verb
fact.n,0.5645257382062776,0.5984189723320157,fact.n,n,0.8856128713989709,2,112,Noun
